id,label,tweets
0,1,"@MySteezRadio I'm goin' to follow u, since u didn't  LOL  GO ANGELS!"
0,2,@mandayyy 
0,3,@twista202 I think I want to read some books but the library doesn't have them 
0,4,My nap was interrupted so many times today  Going out for Japanese with the 'rents again...
0,5,Kind of longs for the bus that shows up at the end of Ghost World right now. Ugh. 
0,6,@GuruMN but this is canada  canada is weird. we're supposed to get snow through wednesday. ugh.
0,7,Awwh babs... you look so sad underneith that shop entrance of &quot;Yesterday's Musik&quot;  O-: I like the look of the new transformer movie 
0,8,sad that the 'feet' of my macbook just fell off 
0,9,I'm gonna get up late tomorrow and it's 132am here. I gonna get tipsy by my lonesome. That's...that's just sad 
0,10,"I'm sweating my forthcoming trip to E3.  If I can't find someone to crash with while I'm out there, I may be screwed.  "
0,11,"Has now gotten somebody to read his tweets, but cant get them to make an account. "
0,12,@infinitydefines  omgawd i couldnt handle my cat being in heat all the time D: D:
0,13,@DonnieWahlberg I hope i can make it to the auburn show. but its not looking good for me 
0,14,@David_Henrie *thats people mag haha i couldnt fit it all in.. i dont think those pictures ever made it in the magazine tho!  haha
0,15,@breadandbadger Congrats!!  i totally forgot to submit photos 
0,16,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx"
0,17,@imaginarypeach now your leaving me  .... -gets sad-
0,18,"I miss you twitter. My phone broke, now I'm using a stupid Nokia phone. Ughhh, I miss my advance phone. "
0,19,SHOOTING OUTSIDE MY HOUSE :O NOT KIDDING! So SCARED 
0,20,Tuesday�ll start with reflection �n then a lecture in Stress reducing techniques. That sure might become very useful for us accompaniers 
0,21,What tragedy and disaster in the news this week 
0,22,yes yes still trying to find a picture that will upload correclty.. 
0,23,Why oh why was the Red Sox game rained out? I was so looking forward to opening day 
0,24,I still can't find my keys. 
0,25,@charlietm I know right. I dunno what is going on with twitter. 
0,26,might be getting a sore throat again 
0,27,@labelsnotlove   my home town. My mammy called all depressd.  Pls explain y a parent let their 8yr old child walk alone? Hello? Its 2009!
0,28,@ircmaxell - I think I need to find better anti-depressants.  I think this Paxil/Wellbutrin combo is losing its efficacy.  
0,29,@MyConnecticut Restaurant called WoodNTap has competitive eating tourney round tourney time. We place 2nd 
0,30,is in the bathroom... wake up lakin. 
0,31,@CaitlinOConnor i want tacos and margarhitas  telll gay i say hello&lt;3
0,32,"im lonely  keep me company! 22 female, california"
0,33,bad day at the betfair office 
0,34,I miss him.  Can't wait to celebrate the Tar Heel win this weekend though!!
0,35,I'm really cold. I don't want to go to sleep yet but there's nothing to do 
0,36,@kristencampisi is this it 4 u? Its ' officially over ' 4 me this go round! 
0,37,monkeys??? i just found out you my twin and you wont even write back.  i'm heartbroken
0,38,@miss_om Aww  I know I felt like that yesterday at work 
0,39,@SarahReedSC treaty isn't defined 
0,40,missed Brent at praise band.   No fun to not have the your lead guitarist.  &lt;pout&gt;
0,41,@jpfurry poor john  this is what happens when you play with fruit and a microwave! Seriously though HAVE you seen a doctor?? Xxx
0,42,Missing My BFF  watching home and away it reminds me of her and me  we &lt;3 It. shout out to u courts
0,43,@mandayyy   
0,44,New video card is DOA. 
0,45,"feeling lost, naked and confused (JK, sort of).....no iphone for me. "
0,46,"Damn i am so late at filling this appraisal form, people have almost sent it .. i was so occupied in work "
0,47,missed Brent at praise band.  No fun to not have your lead guitarist. &lt;pout&gt;
0,48,i think to much on the past. i cant change it. i deserved so much more then wat i got. ..but why am i still thinking about him  gah
0,49,has lost his ring. It's no-where to be seen 
0,50,"@burgaw Ooooooh! *sealclap* See, I download shitloads of zip folders off 4chan. I have no internet moneys.  FUCK YEAH ALICIA &amp; MIKEY."
0,51,Is still nursing my Nile but glad he is feeling better. I hate when my baby is sick 
0,52,Is fucked to go back to IC 
0,53,@Brandizzzle08 yoyoyo. my internet has been rude tonight. it JUST reconnected and I'm about to go to bed. 
0,54,@jemcam well i have uni stuff and netball  but after netbal if i've done uni stuff we can
0,55,@kissability Me too I is poor 
